feature,coefficient,abs_coef
num__number_inpatient,0.2913152130313213,0.2913152130313213
num__number_emergency,0.05969887183639609,0.05969887183639609
num__number_diagnoses,0.05170564115518134,0.05170564115518134
num__discharge_disposition_id,0.025929980289808145,0.025929980289808145
num__num_procedures,-0.022758853339552375,0.022758853339552375
num__time_in_hospital,0.021892739533105898,0.021892739533105898
num__admission_type_id,-0.008665948998902375,0.008665948998902375
num__num_medications,0.00555523125942791,0.00555523125942791
num__number_outpatient,-0.0025232227937781525,0.0025232227937781525
num__admission_source_id,-0.0009441894044809389,0.0009441894044809389
num__num_lab_procedures,0.0003649960090830645,0.0003649960090830645
